university,universityLabel,totalStudents,undergradStudents,postgradStudents
http://www.wikidata.org/entity/Q2154182,Колумбийский врачебно-хирургический колледж,1520,,
http://www.wikidata.org/entity/Q2159219,Illinois Wesleyan University,1636,,
http://www.wikidata.org/entity/Q2159219,Illinois Wesleyan University,1653,,
http://www.wikidata.org/entity/Q2164222,Роллинс-колледж,3104,,
http://www.wikidata.org/entity/Q2165080,Санкт-Петербургский государственный экономический университет,12500,,
http://www.wikidata.org/entity/Q2166712,Rose–Hulman Institute of Technology,1990,,
http://www.wikidata.org/entity/Q2166712,Rose–Hulman Institute of Technology,2210,,
http://www.wikidata.org/entity/Q2212056,Уральский государственный университет путей сообщения,18000,,
http://www.wikidata.org/entity/Q2212976,Миннесотский университет Сент-Мейри,5152,,
http://www.wikidata.org/entity/Q2212977,Университет Святой Марии,7281,,
http://www.wikidata.org/entity/Q2261128,Университет Габриэле д’Аннунцио,24716,,
http://www.wikidata.org/entity/Q2267483,Selandia - Center for Business Education,12000,,
http://www.wikidata.org/entity/Q2281517,Сычуаньский университет,70000,,
http://www.wikidata.org/entity/Q2304477,Юго-восточный европейский университет,4000,,
http://www.wikidata.org/entity/Q718352,Chung Hua University,3922,,
http://www.wikidata.org/entity/Q724222,Азербайджанский технический университет,10000,,
http://www.wikidata.org/entity/Q724207,Азербайджанский государственный университет нефти и промышленности,10092,,
http://www.wikidata.org/entity/Q727516,Университет Квазулу-Натал,38000,,
http://www.wikidata.org/entity/Q760516,Augsburg University,2885,,
http://www.wikidata.org/entity/Q760516,Augsburg University,3785,,
http://www.wikidata.org/entity/Q734774,Сент-Луисский университет,11990,,
http://www.wikidata.org/entity/Q734774,Сент-Луисский университет,12229,,
