university,universityLabel,countryLabel,cityLabel,foundingYear
http://www.wikidata.org/entity/Q633782,Университет Пулы,Хорватия,Пула,2006-12-21T00:00:00Z
http://www.wikidata.org/entity/Q624560,Государственный университет Гумбольдт,США,,1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q631296,Maritime College of Forest Technology,Канада,,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q620640,Appalachian State University,США,Бун (Северная Каролина),1899-01-01T00:00:00Z
http://www.wikidata.org/entity/Q633561,Сарагосский университет,Испания,,1542-01-01T00:00:00Z
http://www.wikidata.org/entity/Q622137,Лихайский университет,США,Бетлехем,1865-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624374,Gwangju University,Республика Корея,,1981-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624295,Hanseo University,Республика Корея,,1992-01-01T00:00:00Z
http://www.wikidata.org/entity/Q587503,Университет Сэйдзё,Япония,,1917-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624959,Южный университет Джорджии,США,,1906-01-01T00:00:00Z
http://www.wikidata.org/entity/Q581046,Университет Фукуоки,Япония,,1934-01-01T00:00:00Z
http://www.wikidata.org/entity/Q37548,Северо-Восточный университет,США,Бостон,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43402,National Formosa University,Китайская Республика (Тайвань),,1980-01-01T00:00:00Z
http://www.wikidata.org/entity/Q49167,Уэслианский университет,США,,1831-01-01T00:00:00Z
http://www.wikidata.org/entity/Q129900,Universidad de la Comunicación,Мексика,,1976-12-13T00:00:00Z
http://www.wikidata.org/entity/Q32393,Наманганский государственный университет,Узбекистан,,1942-01-01T00:00:00Z
http://www.wikidata.org/entity/Q29731,Университет Майор,Чили,,1988-05-13T00:00:00Z
http://www.wikidata.org/entity/Q128111,University of Virginia's College at Wise,США,,
http://www.wikidata.org/entity/Q49108,Массачусетский технологический институт,США,Кембридж,1861-04-10T00:00:00Z
http://www.wikidata.org/entity/Q27265,Зальцбургский университет,Австрия,Зальцбург,1622-01-01T00:00:00Z
http://www.wikidata.org/entity/Q94473,Тернопольский национальный медицинский университет имени И. Я. Горбачевского Министерства здравоохранения Украины,Украина,,1957-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56653,Akita Prefectural University,Япония,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23977,Харьковский государственный университет питания и торговли,Украина,,1967-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56148,Йоннамский университет,Республика Корея,,1967-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39920,Университет имени Ким Ир Сена,КНДР,Пхеньян,1946-10-01T00:00:00Z
http://www.wikidata.org/entity/Q45612,Университет Лимпопо,ЮАР,,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39944,Университет иностранных языков,КНДР,,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23101,Пекинский технологический институт,Китай,Beijing Institute of Technology community,1940-01-01T00:00:00Z
http://www.wikidata.org/entity/Q49204,Колледж Смит,США,Нортгемптон,1871-01-01T00:00:00Z
http://www.wikidata.org/entity/Q132478,Университет Оксфорд Брукс,Великобритания,,1865-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23985,Хмельницкий национальный университет,Украина,,1962-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43658,Львовский торгово-экономический университет,Австрийская империя,,1816-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40000,Политехнический университет имени Ким Чхэка,КНДР,,1951-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40000,Политехнический университет имени Ким Чхэка,КНДР,,1948-01-01T00:00:00Z
http://www.wikidata.org/entity/Q75478,Политехнический институт Нью-Йоркского университета,США,,1854-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16947,Университет Тунцзи,Китай,Шанхай,1907-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56860,Академия просвещения университета Витовта Великого,Литва,,1935-01-01T00:00:00Z
http://www.wikidata.org/entity/Q49118,Бостонский колледж,США,Чеснат-Хилл,1863-01-01T00:00:00Z
http://www.wikidata.org/entity/Q94902,Университет имени Алламе Табатабаи,Иран,,1957-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15144,Массачусетский университет,США,Дорчестер,1964-01-01T00:00:00Z
http://www.wikidata.org/entity/Q137006,Guangxi Normal University,Китай,Гуйлинь,1932-01-01T00:00:00Z
http://www.wikidata.org/entity/Q13338,Университет Бордо I,Франция,Бордо,1971-01-01T00:00:00Z
http://www.wikidata.org/entity/Q52413,Канзасский университет,США,,1864-03-21T00:00:00Z
http://www.wikidata.org/entity/Q53122,Пусанский национальный университет,Республика Корея,,1946-05-15T00:00:00Z
http://www.wikidata.org/entity/Q94469,"The State Institution ""South Ukrainian National Pedagogical University named after K. D. Ushynsky""",Украина,,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12432,Мичиганский технологический университет,США,Хоутон,1885-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23966,Харьковский национальный технический университет сельского хозяйства имени Петра Василенко,Украина,,1930-01-01T00:00:00Z
